設定	Ntọala
プラグインを初期化します なおIPログリーダーのデータはここでは削除されません	Malite plugin ahụ. Biko mara na a gaghị ehichapụ data IP Log Reader n'oge a.
Neo HTML Protectorについて	Banyere Neo HTML Protector
このプラグインはあなたのWordpressから出力されるHTMLや画像等を保護し、コンテンツの不正利用から守ることを目的としています。	A haziri mgbakwunye a iji chebe HTML, onyonyo na ọdịnaya ndị ọzọ e mepụtara na saịtị WordPress gị, na-echebe ya pụọ na ojiji na-enweghị ikike.
コンテンツを完璧に守ることはできません。しかし可能な限りの方法において警告し、もし何かがあった場合に備えて準備することにより国で定められている方法で解決することができるはずです。	Ọ gaghị ekwe omume ichebe ọdịnaya kpamkpam. Otú ọ dị, site n'ịkụziri ịdọ aka ná ntị ebe niile o kwere mee na ime atụmatụ maka ma ọ bụrụ na ihe ọ bụla emee, anyị ga-enwe ike idozi nsogbu ahụ dịka usoro gọọmenti si tụọ.
もちろん、利用規約やサイトポリシーを充実させる必要があります。このプラグインは利用規約生成アプリではありませんが、そのヒントを与えることができます。	N'ezie, ị ga-eme ka okwu gị gbasara ọrụ na ụkpụrụ saịtị gị zuru ezu. Ọ bụ ezie na mgbakwunye a abụghị ngwá ọrụ maka ịmepụta okwu gbasara ọrụ, ọ nwere ike inye nduzi ụfọdụ.
開発者: 夜桜　なの	Onye mmepe: Nano Yozakura
バージョン	Ụdị
ビルド	Wulite
サポートページ	Nkwado ibe
ISISちゃん	ISIS chan
Miss. 裏まにら氏歌唱	Rụrụ site n'aka Miss Ura Manira
支援のお願い	Arịrịọ maka nkwado
Neo HTML Protectorをご利用いただき、ありがとうございます！	Daalụ maka iji Neo HTML Protector!
本プラグインの開発と維持には多くの時間と知恵の絞りだしがかかっており、引き続き改善と更新を行っていくための資金を集めるために、もしご支援いただける方がいれば、寄付をお願いできればと思います。	Mmepe na nlekọta nke mgbakwunye a achọrọ ọtụtụ oge na mgbalị, ma iji nweta ego maka imeziwanye na imelite ya, anyị ga-enwe ekele ma ọ bụrụ na onye ọ bụla nwere ike ịkwado anyị tụlee inye onyinye.
寄付について	Banyere onyinye
寄付は任意であり、強制ではありません。プラグインを無料でご利用いただけるように、どなたでも利用可能です。しかし、開発を継続するためにはご支援が大変ありがたく、少しでもご協力いただけると嬉しいです。	Inye onyinye bụ nke onwe onye kpebiri, ọ bụghị ihe a na-eme n'ike. Ngwa mgbakwunye a dị onye ọ bụla n'efu. Otú ọ dị, a na-enwe nnukwu ekele maka nkwado gị iji nyere anyị aka ịga n'ihu na mmepe, ma anyị ga-enwe obi ụtọ ma ọ bụrụ na ị nwere ike inye ọbụna obere ego.
ご寄付は、下記のリンクから行っていただけます。日本の方であれば無料で寄付をすることも可能で、更にはアマゾンギフト券で気軽に寄付をすることが可能です。	Ị nwere ike ime onyinye site na njikọ dị n'okpuru. Ọ bụrụ na ị nọ na Japan, ị nwere ike inye onyinye n'efu, ị nwekwara ike inye onyinye n'ụzọ dị mfe site na iji tiketi onyinye Amazon.
寄付先	Ụlọ ọrụ ebere
皆様のご支援があれば、今後も素晴らしいアップデートをお届けできるよう頑張ります！	Site na nkwado gị, anyị ga-agba mbọ kacha ike iji gaa n'ihu na-ewetara gị mmelite magburu onwe ha!
ご支援いただけることに感謝し、今後ともよろしくお願いいたします。	Anyị na-ekele gị maka nkwado gị ma na-atụ anya na ị ga-aga n'ihu na-akwado anyị n'ọdịnihu.
ライセンス	Ikike
本プラグインはオープンソースで開発されており、GPL2.0以降のバージョンのライセンスを適用しています。	A mepụtara mgbakwunye a dị ka sọftụwia mepere emepe ma e nyere ya ikike n'okpuru GPL v2.0 ma ọ bụ nsụgharị ka e mesịrị.
このプラグインに含まれるいくつかの技術は特許保護の対象です。	Ụfọdụ n'ime teknụzụ ndị dị na mgbakwunye a echekwara site na patent.
特許技術の使用は、このプラグイン内での使用に限って認められます。	A na-enye ikike iji teknụzụ e debanyere patent naanị n'ime mgbakwunye a.
その他の使用については、作者に連絡して商用ライセンスを取得してください。	Maka ojiji ọ bụla ọzọ, biko kpọtụrụ onye edemede ka ị nweta ikike azụmahịa.
本プラグインには以下のライブラリを同梱しています	Ngwa mgbakwunye a gụnyere ụlọ ọrụ ndị a
本プラグインには以下で生成したアスキーアートのフォント、並びにフォントファイルを同梱しています	Ntinye mgbakwunye a gụnyere ụdị mkpụrụedemede nka ASCII e mepụtara n'okpuru, tinyere faịlụ mkpụrụedemede.
このプラグインには有限会社イージェーが開発を行い、本プラグイン製作者が作曲した、スーパーファミコン非公認ゲーム「SM調教師瞳3」の楽曲を含んでおり、正式にライセンスされています	Plugin a gụnyere egwu sitere na egwuregwu Super Famicom na-abụghị nke gọọmentị kwadoro, 'SM Trainer Hitomi 3', nke EJ Co., Ltd. mepụtara ma onye kere plugin a kpara, ma enwetala ikike gọọmentị.
このプラグインには、Keppy氏（KaleidonKep99）によって作成された「Keppy s YAMAHA C7」を使用した楽曲が含まれており、正式にライセンスされています	Plugin a gụnyere ụda egwu e kere site na 'Keppy's YAMAHA C7', nke Keppy
その他本プラグインの開発にRaspberry Pi5とChatGPTとdeeplを使用しています	E jiri m Raspberry Pi 5, ChatGPT na DeepL mee mmepe mgbakwunye a.
キャッシュプラグインを検出しました キャッシュプラグインが有効化されていると本プラグインは正しく動作しません	A chọpụtara mgbakwunye nchekwa. Mgbakwunye a agaghị arụ ọrụ nke ọma ma ọ bụrụ na a kwadoro mgbakwunye nchekwa.
無効なIPアドレス	Adreesị IP ezighi ezi
このウェブサイトをご利用いただくには、CookieとJavaScriptを有効にしていただく必要があります	Iji weebụsaịtị a, ị ga-eme ka kuki na JavaScript rụọ ọrụ.
利用規約	Okwu Ojiji
このサイトでは、不正利用の防止およびサービスの安全な運営のために、IPアドレス・閲覧履歴・操作ログなどの情報をCookieとデータベースに保存することがあります。これらの情報は、サイトの運営や法的対応にのみ使用され、第三者に提供することはありません。	Iji gbochie ojiji na-enweghị ikike ma hụ na ọrụ anyị na-aga nke ọma n'enweghị nsogbu, weebụsaịtị a nwere ike ịchekwa ozi dịka adreesị IP, akụkọ ihe gụrụ na ndekọ ihe omume na kuki na nchekwa data. A na-eji ozi a naanị maka ọrụ weebụsaịtị na ebumnuche iwu, a gaghịkwa ekekọrịta ya na ndị nke atọ.
サービスをご利用いただくには、これらの処理に同意いただく必要があります。	Iji ọrụ a, ị ga-enye nkwenye maka ọrụ nhazi ndị a.
プライバシーポリシーの内容は、同意の有無に関わらずご確認いただけます。	Ị nwere ike ile ọdịnaya nke Atụmatụ Nzuzo n'agbanyeghị ma ị nyere nkwenye gị.
同意する	Ekwenyere m
同意しない	Anaghị m ekwenye
確認	Nkwenye
プライバシーポリシー	Usoro Nzuzo
通常とは異なる方法でのアクセスや操作が検出されました	A chọpụtara nnweta ma ọ bụ ọrụ na-adịghị ahụkebe.
セキュリティ並びにコンテンツ保護のため一部の機能を制限しています	E gbochiela ụfọdụ atụmatụ maka ebumnuche nchekwa na nchebe ọdịnaya.
デバッグモード、コンソールの起動は禁止されています	E mechiri ụdị ndozi njehie na nnweta console
以下の情報がサーバーに送信されました	A zigara ozi ndị a na sava.
あなたのIPアドレス	Adreesị IP gị
あなたの端末とブラウザ	Ngwaọrụ gị na ihe nchọgharị gị
あなたの押下したキー	Igodo ị pịrị
リダイレクトをします	A ga-ebugharị gị
コンテンツ保護のため一部の機能を制限しています	E mechiri ụfọdụ atụmatụ iji chebe ọdịnaya
右クリックは禁止されています	A naghị ekwe ka e pịa bọtịnụ aka nri.
あなたが押下したキー	Igodo ị pịrị
印刷、PDFへの保存は禁止されています	A machibidoro ibipụta na ịchekwa dị ka PDF.
スクリーンショットは禁止されています	A machibidoro ịse foto ihuenyo.
スクリーンショット、デバッグモード等の起動は禁止されています	Ị were foto ihuenyo na ịgbanye ọnọdụ nchọpụta njehie machibidoro.
ページの保存は禁止されています	A machibidoro ịchekwa peeji a.
コピー、カットは禁止されています	A machibidoro ịdetuo na ịkpụ.
あなたが起こしたイベント	Ihe omume ị haziri
テキストの選択は禁止されています	A naghị ekwe ka ịhọrọ ederede.
HTMLソース表示は禁止されています	A machibidoro igosipụta koodu isi HTML.
不正アクセスは禁止されています	A machibidoro nnweta na-enweghị ikike.
アフリカーンス語	Afọkansta
アラゴン語	Aragonés
アラビア語	Arabi
アッサム語	Asamese
アゼルバイジャン語	Azerbaijan
バシュキール語	Bashkir
ベラルーシ語	Onye Belarus
ベンガル語	Bengali
ブルガリア語	Bụlgaria
ボスニア語	Onye Bosnia
カタロニア語	Katalan
チェコ語	Czech
ウェールズ語	Welsh
デンマーク語	Daniịs
ドイツ語	Jamanị
現代ギリシア語	Grisịk nke oge a
英語	Bekee
イギリス英語	Bekọndịtụ
アメリカ英語	Bekee
エスペラント語	Asụsụ olileanya
スペイン語	Spainịsh
エストニア語	Onye Estonia
バスク語	Bask
ペルシャ語	Persi
フィンランド語	Mgwụcha
フランス語	French
アイルランド語	Onye Ireland
ガリシア語	Galician
グァラニ語	Onye na-echebe
グジャラート語	Gujarati
ハウサ語	Ụlọ
ヘブライ語	Hibru
ヒンディ語	Na-ede Hindi
クロアチア語	Krahin
ハイチ・クレオール語	Kreyòl Ayisyen
ハンガリー語	Onye Hungaria
インドネシア語	Onye Indonesia
イボ語	Asụsụ Ibo
アイスランド語	Icelandic
イタリア語	Onye Itali
日本語	Japani
ジャワ語	Javanese
カザフ語	Kazakh
朝鮮語	Kọrịa
クルド語	Kọdish
キルギス語	Kyrgyz
ラテン語	Latin
ルクセンブルク語	Lọksembọgịsh
リンガラ語	Asụsụ
リトアニア語	Lithuania
ラトビア語	Latvia
マダガスカル語	Onye si Madagascar
マオリ語	Ndị Māori
マケドニア語	Maasedonia
マラヤーラム語	Malayalam
モンゴル語	Mọngọlịan
マラーティー語	Maraṭhī
マレー語	Malay
マルタ語	Onye Malta
ビルマ語	Burmese
ネパール語	Onye Nepal
ノルウェー語	Onye Norweji
オランダ語	Dọchị
オック語	Okitan
オロモ語	Ma ọ bụ
パンジャーブ語	Punjabi
ポーランド語	Mee ka ọ dị ọcha
パシュトー語	Pashto
ポルトガリア語	Portugizi
ブラジルポルトガル語	Portugalị Brazil
ヨーロピアンポルトガル語	Portugalị Europe
ケチュア語	Kichwa
ルーマニア語	Román
ロシア語	Rọshịa
サンスクリット語	Asụsụ Latin
スロバキア語	Slovakị
スロベニア語	Slovenia
セルビア語	Serbia
南セソト語	Sesotho nke ndịda
スンダ語	Sunda
スウェーデン語	Swidi
スワヒリ語	Swaahili
タミル語	Tamil
テルグ語	Tịlụgụ
タジク語	Tajiki
タイ語	Tịị
トルクメン語	Turkmen
タガログ語	Asụsụ Tagalog
トルコ語	Turki
タタール語	Tatar
ウクライナ語	Onye Ukraine
ウルドゥー語	Na-asụ Urdu
ウズベク語	Onye Uzbek
ベトナム語	Onye Vietnam
コサ語	Mmejọ
イディッシュ語	Yidi
簡体中国語	Chinese dị mfe
繁体中国語	Asụsụ ọdịnala ndị China
ズールー語	Nke a bụ
現在ご利用のブラウザーはサポート対象外の旧バージョンです。より安全で快適な閲覧環境のため、最新のブラウザーへのアップデートをお願いいたします	Nchọgharị ị na-eji ugbu a bụ mbipute ochie nke a naghịzi akwado. Iji hụ na ị nwere ahụmịhe nchọgharị dị nchebe ma dịkwa mma, biko melite ya ruo mbipute kacha ọhụrụ.
不正なリクエストです	Arịrịọ ezighi ezi
画像が見つかりません	E nweghị onyonyo ahụ
